,line,emsg
117,"model.fit(X, y)","ValueError: Expected 2D array, got 1D array instead:
array=[ 4.09    4.9671  4.9671  6.0622  6.0622  6.0622  5.5605  5.9505  6.0821
  6.5921  6.3467  6.2267  5.4509  4.7075  4.4619  4.4986  4.4986  4.2579
  3.7965  3.7965  3.7979  4.0123  3.9769  4.0952  4.3996  4.4546  4.682
  4.4534  4.4547  4.239   4.233   4.175   3.99    3.7872  3.7598  3.3603
  3.3779  3.9342  3.8473  5.4011  5.4011  5.7209  5.7209  5.7209  5.7209
  5.1004  5.1004  5.6894  5.87    6.0877  6.8147  6.8147  6.8147  6.8147
  7.3197  8.6966  9.1876  8.3248  7.8148  6.932   7.2254  6.8185  7.2255
  7.9809  9.2229  6.6115  6.6115  6.498   6.498   6.498   5.2873  5.2873
  5.2873  5.2873  4.2515  4.5026  4.0522  4.0905  5.0141  4.5026  5.4007
  5.4007  5.4007  5.4007  4.7794  4.4377  4.4272  3.7476  3.4217  3.4145
  3.0923  3.0921  3.6659  3.6659  3.615   3.4952  3.4952  3.4952  3.4952
  3.4952  2.7778  2.8561  2.7147  2.7147  2.421   2.1069  2.211   2.1224
  2.4329  2.5451  2.7778  2.6775  2.3534  2.548   2.2565  2.4631  2.7301
  2.7474  2.4775  2.7592  2.2577  2.1974  2.0869  1.9444  2.0063  1.9929
  1.7572  1.7883  1.8125  1.9799  2.1185  2.271   2.3274  2.4699  2.346
  2.1107  1.9669  1.8498  1.6686  1.6687  1.6119  1.4394  1.3216  1.4118
  1.3459  1.4191  1.5166  1.4608  1.5296  1.5257  1.618   1.5916  1.6102
  1.6232  1.7494  1.7455  1.7364  1.8773  1.7573  1.7659  1.7984  1.9709
  2.0407  2.162   2.422   2.2834  2.0459  2.4259  2.1     2.2625  2.4259
  2.3887  2.5961  2.6463  2.7019  3.1323  3.5549  3.3175  2.9153  2.829
  2.741   2.5979  2.7006  2.847   2.9879  3.2797  3.1992  3.7886  4.5667
  4.5667  6.4798  6.4798  6.4798  6.2196  6.2196  5.6484  7.309   7.309
  7.309   7.6534  7.6534  6.27    6.27    5.118   5.118   3.9454  4.3549
  4.3549  4.2392  3.875   3.8771  3.665   3.6526  3.9454  3.5875  3.9454
  3.1121  3.4211  2.8893  3.3633  2.8617  3.048   3.2721  3.2721  2.8944
  2.8944  3.2157  3.2157  3.3751  3.3751  3.6715  3.6715  3.8384  3.6519
  3.6519  3.6519  4.148   4.148   6.1899  6.1899  6.3361  6.3361  7.0355
  7.0355  7.9549  7.9549  8.0555  8.0555  7.8265  7.8265  7.3967  7.3967
  8.9067  8.9067  9.2203  9.2203  6.3361  1.801   1.8946  2.0107  2.1121
  2.1398  2.2885  2.0788  1.9301  1.9865  2.1329  2.4216  2.872   3.9175
  4.429   4.429   3.9175  4.3665  4.0776  4.2673  4.7872  4.8628  4.1403
  4.1007  4.6947  5.2447  5.2119  5.885   7.3073  7.3073  9.0892  7.3172
  7.3172  7.3172  5.1167  5.1167  5.1167  5.5027  5.5027  5.9604  5.9604
  6.32    7.8278  7.8278  7.8278  5.4917  5.4917  5.4917  4.022   3.37
  3.0992  3.1827  3.3175  3.1025  2.5194  2.6403  2.834   3.2628  3.6023
  3.945   3.9986  4.0317  3.5325  4.0019  4.5404  4.5404  4.7211  4.7211
  4.7211  5.4159  5.4159  5.4159  5.2146  5.2146  5.8736  6.6407  6.6407
  6.4584  6.4584  5.9853  5.2311  5.615   4.8122  4.8122  4.8122  7.0379
  6.2669  5.7321  6.4654  8.0136  8.0136  8.5353  8.344   8.7921  8.7921
 10.7103 10.7103 12.1265 10.5857 10.5857  2.1222  2.5052  2.7227  2.5091
  2.5182  2.2955  2.1036  1.9047  1.9047  1.6132  1.7523  1.5106  1.3325
  1.3567  1.2024  1.1691  1.1296  1.1742  1.137   1.3163  1.3449  1.358
  1.3861  1.3861  1.4165  1.5192  1.5804  1.5331  1.4395  1.4261  1.4672
  1.5184  1.5895  1.7281  1.9265  2.1678  1.77    1.7912  1.7821  1.7257
  1.6768  1.6334  1.4896  1.5004  1.5888  1.5741  1.639   1.7028  1.6074
  1.4254  1.1781  1.2852  1.4547  1.4655  1.413   1.5275  1.5539  1.5894
  1.6582  1.8347  1.8195  1.6475  1.8026  1.794   1.8589  1.8746  1.9512
  2.0218  2.0635  1.9096  1.9976  1.8629  1.9356  1.9682  2.0527  2.0882
  2.2004  2.3158  2.2222  2.1247  2.0026  1.9142  1.8206  1.8172  1.8662
  2.0651  2.0048  1.9784  1.8956  1.9879  2.072   2.198   2.2616  2.185
  2.3236  2.3552  2.3682  2.4527  2.4961  2.4358  2.5806  2.7792  2.7831
  2.7175  2.5975  2.5671  2.7344  2.8016  2.9634  3.0665  2.8715  2.5403
  2.9084  2.8237  3.0334  3.0993  2.8965  2.5329  2.4298  2.206   2.3053
  2.1007  2.1705  1.9512  3.4242  3.3317  3.4106  4.0983  3.724   3.9917
  3.5459  3.1523  1.8209  1.7554  1.8226  1.8681  2.1099  2.3817  2.3817
  2.7986  2.7986  2.8927  2.4091  2.3999  2.4982  2.4786  2.2875  2.1675
  2.3889  2.505 ].
Reshape your data either using array.reshape(-1, 1) if your data has a single feature or array.reshape(1, -1) if it contains a single sample."
118,"r2 = r2_score(y, y_pred)",NameError: name 'r2_score' is not defined
119,"sns.kdeplot(data=df, x=""工場"", y=""住宅価格"", shade=True, thresh=0.05)",NameError: name 'sns' is not defined
120,"X = df[['通勤','教員費']]  # ひとつ選ぶ","KeyError: ""['教員費'] not in index"""
121,"X = df[['通勤'], ['教員比']]  # ひとつ選ぶ","TypeError: '(['通勤'], ['教員比'])' is an invalid key"
122,"X = df['通勤','教員比']","KeyError: ('通勤', '教員比')"
123,"X = df[['犯罪率','築年数']]","KeyError: ""['築年数'] not in index"""
124,"model.fit(X, y)","ValueError: Expected 2D array, got 1D array instead:
array=[296 242 242 222 222 222 311 311 311 311 311 311 311 307 307 307 307 307
 307 307 307 307 307 307 307 307 307 307 307 307 307 307 307 307 307 279
 279 279 279 252 252 233 233 233 233 233 233 233 233 233 243 243 243 243
 469 226 313 256 284 284 284 284 284 284 216 337 337 345 345 345 305 305
 305 305 398 398 398 398 398 398 281 281 281 281 247 247 247 247 270 270
 270 270 270 270 270 276 276 276 276 276 384 384 384 384 384 384 384 384
 384 384 384 432 432 432 432 432 432 432 432 432 188 188 188 188 188 188
 188 437 437 437 437 437 437 437 437 437 437 437 437 437 437 437 403 403
 403 403 403 403 403 403 403 403 403 403 403 403 403 403 403 403 403 403
 403 403 403 403 403 403 403 403 403 403 296 296 296 296 296 296 296 193
 193 193 193 193 193 193 193 398 398 398 398 398 398 265 265 255 329 329
 329 402 402 348 348 224 224 277 277 277 277 277 277 277 277 277 277 277
 276 276 276 276 307 307 307 307 307 307 307 307 307 307 307 307 307 307
 307 307 307 307 300 300 300 300 300 300 330 330 330 330 330 330 330 330
 330 330 315 315 244 264 264 264 264 264 264 264 264 264 264 264 264 223
 223 223 223 223 254 254 254 254 254 216 216 216 216 198 285 300 241 293
 293 293 245 245 245 289 289 289 289 289 358 358 358 329 329 329 222 222
 222 222 304 304 304 304 304 304 304 304 304 304 304 304 287 287 287 287
 287 287 287 287 430 430 430 304 304 224 224 224 224 224 224 224 224 284
 422 370 370 352 352 351 280 335 335 411 411 187 334 334 666 666 666 666
 666 666 666 666 666 666 666 666 666 666 666 666 666 666 666 666 666 666
 666 666 666 666 666 666 666 666 666 666 666 666 666 666 666 666 666 666
 666 666 666 666 666 666 666 666 666 666 666 666 666 666 666 666 666 666
 666 666 666 666 666 666 666 666 666 666 666 666 666 666 666 666 666 666
 666 666 666 666 666 666 666 666 666 666 666 666 666 666 666 666 666 666
 666 666 666 666 666 666 666 666 666 666 666 666 666 666 666 666 666 666
 666 666 666 666 666 666 666 666 666 666 666 666 666 666 666 666 666 666
 666 666 711 711 711 711 711 391 391 391 391 391 391 391 391 273 273 273
 273 273].
Reshape your data either using array.reshape(-1, 1) if your data has a single feature or array.reshape(1, -1) if it contains a single sample."
125,"X = df[['資産','築年']]","KeyError: ""['資産'] not in index"""
126,"r2 = r2_score(y, y_pred)",NameError: name 'y' is not defined
127,"X = df[['犯罪', '工場']]  # 説明変数","KeyError: ""['犯罪'] not in index"""
128,"X = df[['低所得率', '川辺']]","KeyError: ""['川辺'] not in index"""
129,X = df[['資産']]  # ひとつ選ぶ,"KeyError: ""None of [Index(['資産'], dtype='object')] are in the [columns]"""
130,"X = df['資産税','教員比']","KeyError: ('資産税', '教員比')"
131,"X = df[['低所得理', '資産税']] ","KeyError: ""['低所得理'] not in index"""
132,column,NameError: name 'column' is not defined
133,columns,NameError: name 'columns' is not defined
134,"X = df[['低所得者','部屋数']]","KeyError: ""['低所得者'] not in index"""
135,df.columns -1,TypeError: unsupported operand type(s) for -: 'str' and 'int'
136,"X = df[['低所得率','','交通']]  # ひとつ選ぶ","KeyError: ""[''] not in index"""
137,"model.fit(X,y)",TypeError: fit() missing 1 required positional argument: 'y'
138,  X = df[[col]],"KeyError: ""None of [Index(['住'], dtype='object')] are in the [columns]"""
139,  y_pred = model.predict(X),"ValueError: X has 1 features, but LinearRegression is expecting 2 features as input."
140,"X = df['部屋数','低所得']","KeyError: ('部屋数', '低所得')"
141,"X = df[['部屋数宇','築年']]","KeyError: ""['部屋数宇'] not in index"""
142,"X = df['部屋数','低所得率']","KeyError: ('部屋数', '低所得率')"
143,X = df[['犯罪数']],"KeyError: ""None of [Index(['犯罪数'], dtype='object')] are in the [columns]"""
144,print(r2.max()),AttributeError: 'list' object has no attribute 'max'
145,"X=df[['低所得率','通年']] ","KeyError: ""['通年'] not in index"""
146,"X = df[['部屋数', '教育比', '資産税']]","KeyError: ""['教育比'] not in index"""
147,X = df[['低所得理宇t']]  # ひとつ選ぶ,"KeyError: ""None of [Index(['低所得理宇t'], dtype='object')] are in the [columns]"""
148,"X = df(['通勤', '教員'])  # 説明変数",TypeError: 'DataFrame' object is not callable
149,y_pred = model.predict(x),"ValueError: Expected 2D array, got 1D array instead:
array=[0.         0.88888889 1.77777778 2.66666667 3.55555556 4.44444444
 5.33333333 6.22222222 7.11111111 8.        ].
Reshape your data either using array.reshape(-1, 1) if your data has a single feature or array.reshape(1, -1) if it contains a single sample."
150,"X = df[['部屋数','低所得率','交通「']]","KeyError: ""['交通「'] not in index"""
151,"X = df[['部屋数'], ['低所得率']]  # ひとつ選ぶ","TypeError: '(['部屋数'], ['低所得率'])' is an invalid key"
152,  for column2 in df.column[:-1]:,AttributeError: 'DataFrame' object has no attribute 'column'
153,"N,A,X,Y=int(input())",ValueError: invalid literal for int() with base 10: '5 3 20 15'
154,"    rho = corr(df[column], df[column],df['住宅価格'])",TypeError: corr() takes 2 positional arguments but 3 were given
155,"    X = df[[column1], [column2]]  # 説明変数","TypeError: '(['犯罪率'], ['犯罪率'])' is an invalid key"
156,"print(model.coef_, model.intercept_)",AttributeError: type object 'LinearRegression' has no attribute 'coef_'
157,"    rho = corr(df[column,column], df['住宅価格'])","KeyError: ('犯罪率', '犯罪率')"
158,"    r2 = r2_score( df['住宅価格'], df[y_pred])","KeyError: ""None of [Float64Index([ 25.21793429676885, 25.270782015721192,  31.50246705836258,\n              30.185849230513508, 31.401190946944883, 25.552868727607336,\n              20.891325739639296,  22.19639067003541,  17.78363987413358,\n              20.826072493119494,\n              ...\n               14.66067806066685, 17.955967009917014, 19.791214568286538,\n              16.120719451547497,  19.85646781480634, 24.700782434684054,\n              20.842684234200572, 27.824781611819727,  26.34027025349415,\n              20.108585210852763],\n             dtype='float64', length=506)] are in the [columns]"""
159,"X = df[['部屋巣', '低所得率']]  # 説明変数　二つ選ぶ","KeyError: ""['部屋巣'] not in index"""
160,"    rho = corr(df[column1,column2], df['住宅価格'])",NameError: name 'column1' is not defined
161,    plt.xlabel(f'{column} ({rho:0.4f})'),NameError: name 'rho' is not defined
162,"    X = df[[df[i], df[n]]] ","KeyError: ""None of [Index([(0.00632, 0.02731, 0.02729, 0.03237, 0.06905, 0.02985, 0.08829, 0.14455, 0.21124, 0.17004, 0.22489, 0.11747, 0.09378, 0.62976, 0.63796, 0.62739, 1.05393, 0.7842, 0.80271, 0.7258, 1.25179, 0.85204, 1.23247, 0.98843, 0.75026, 0.84054, 0.67191, 0.95577, 0.77299, 1.00245, 1.13081, 1.35472, 1.38799, 1.15172, 1.61282, 0.06417, 0.09744, 0.08014, 0.17505, 0.02763, 0.03359, 0.12744, 0.1415, 0.15936, 0.12269, 0.17142, 0.18836, 0.22927, 0.25387, 0.21977, 0.08873, 0.04337, 0.0536, 0.04981, 0.0136, 0.01311, 0.02055, 0.01432, 0.15445, 0.10328, 0.14932, 0.17171, 0.11027, 0.1265, 0.01951, 0.03584, 0.04379, 0.05789, 0.13554, 0.12816, 0.08826, 0.15876, 0.09164, 0.19539, 0.07896, 0.09512, 0.10153, 0.08707, 0.05646, 0.08387, 0.04113, 0.04462, 0.03659, 0.03551, 0.05059, 0.05735, 0.05188, 0.07151, 0.0566, 0.05302, 0.04684, 0.03932, 0.04203, 0.02875, 0.04294, 0.12204, 0.11504, 0.12083, 0.08187, 0.0686, ...), (0.00632, 0.02731, 0.02729, 0.03237, 0.06905, 0.02985, 0.08829, 0.14455, 0.21124, 0.17004, 0.22489, 0.11747, 0.09378, 0.62976, 0.63796, 0.62739, 1.05393, 0.7842, 0.80271, 0.7258, 1.25179, 0.85204, 1.23247, 0.98843, 0.75026, 0.84054, 0.67191, 0.95577, 0.77299, 1.00245, 1.13081, 1.35472, 1.38799, 1.15172, 1.61282, 0.06417, 0.09744, 0.08014, 0.17505, 0.02763, 0.03359, 0.12744, 0.1415, 0.15936, 0.12269, 0.17142, 0.18836, 0.22927, 0.25387, 0.21977, 0.08873, 0.04337, 0.0536, 0.04981, 0.0136, 0.01311, 0.02055, 0.01432, 0.15445, 0.10328, 0.14932, 0.17171, 0.11027, 0.1265, 0.01951, 0.03584, 0.04379, 0.05789, 0.13554, 0.12816, 0.08826, 0.15876, 0.09164, 0.19539, 0.07896, 0.09512, 0.10153, 0.08707, 0.05646, 0.08387, 0.04113, 0.04462, 0.03659, 0.03551, 0.05059, 0.05735, 0.05188, 0.07151, 0.0566, 0.05302, 0.04684, 0.03932, 0.04203, 0.02875, 0.04294, 0.12204, 0.11504, 0.12083, 0.08187, 0.0686, ...)], dtype='object')] are in the [columns]"""
163,"  print(f'{clumn}決定係数(R2):', r2)",NameError: name 'clumn' is not defined
164,for column in de.columns[:-1]:,NameError: name 'de' is not defined
165,  print(colum),NameError: name 'colum' is not defined
166,"    X = df[[[column],[column]]]","KeyError: ""None of [Index([('犯罪率',), ('犯罪率',)], dtype='object')] are in the [columns]"""
167,  X = df[[coloumn]]  # 説明変数,NameError: name 'coloumn' is not defined
168,  X = df[['column']]  # ひとつ選ぶ,"KeyError: ""None of [Index(['column'], dtype='object')] are in the [columns]"""
169,"  print(f'{colomn} 決定係数(R2):', r2)",NameError: name 'colomn' is not defined
170,"    print(f'{column} 決定係数(R2):', R2)",NameError: name 'R2' is not defined
171,for colum in dfb.columns[:-1]:,NameError: name 'dfb' is not defined
172,"      print(max('決定係数(R2):', r2, '(',column1,', ', column2,', ', column3,')' ))",TypeError: '>' not supported between instances of 'numpy.ndarray' and 'str'
173,"  X = df[[column], df[column]]","TypeError: '(['犯罪率'], 0      0.00632
1      0.02731
2      0.02729
3      0.03237
4      0.06905
        ...   
501    0.06263
502    0.04527
503    0.06076
504    0.10959
505    0.04741
Name: 犯罪率, Length: 506, dtype: float64)' is an invalid key"
174,for colum in df.colums[:-1]:,AttributeError: 'DataFrame' object has no attribute 'colums'
175,"    model.fit(X, y)",TypeError: Singleton array array(0) cannot be considered a valid collection.
176,"  X = df[df[column], df[column]]","TypeError: '(0      0.00632
1      0.02731
2      0.02729
3      0.03237
4      0.06905
        ...   
501    0.06263
502    0.04527
503    0.06076
504    0.10959
505    0.04741
Name: 犯罪率, Length: 506, dtype: float64, 0      0.00632
1      0.02731
2      0.02729
3      0.03237
4      0.06905
        ...   
501    0.06263
502    0.04527
503    0.06076
504    0.10959
505    0.04741
Name: 犯罪率, Length: 506, dtype: float64)' is an invalid key"
177,"  model.fit(X,y)","ValueError: Expected 2D array, got 1D array instead:
array=[ 1  2  2  3  3  3  5  5  5  5  5  5  5  4  4  4  4  4  4  4  4  4  4  4
  4  4  4  4  4  4  4  4  4  4  4  5  5  5  5  3  3  3  3  3  3  3  3  3
  3  3  4  4  4  4  3  5  2  5  8  8  8  8  8  8  3  4  4  4  4  4  4  4
  4  4  5  5  5  5  5  5  4  4  4  4  3  3  3  3  2  2  2  2  4  4  4  2
  2  2  2  2  5  5  5  5  5  5  5  5  5  5  5  6  6  6  6  6  6  6  6  6
  2  2  2  2  2  2  2  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4  5  5
  5  5  5  5  5  5  5  5  5  5  5  5  5  5  5  5  5  5  5  5  5  5  5  5
  5  5  5  5  5  5  5  5  5  5  5  3  3  3  3  3  3  3  3  5  5  5  5  5
  5  1  1  4  2  2  2  3  3  2  2  4  4  4  4  4  4  4  4  4  4  4  4  4
  5  5  5  5  8  8  8  8  8  8  8  8  8  8  8  8  8  8  8  8  8  8  6  6
  6  6  6  6  7  7  7  7  7  7  7  7  7  7  1  1  3  5  5  5  5  5  5  5
  5  5  5  5  5  3  3  3  3  3  4  4  4  4  4  5  5  5  5  1  1  1  1  6
  6  6  4  4  4  4  4  4  4  4  5  5  5  7  7  7  7  7  7  7  4  4  4  4
  4  4  4  4  4  4  4  4  5  5  5  5  5  5  5  5  4  4  4  1  1  5  5  5
  5  5  5  5  5  1  1  5  5  3  3  4  4  1  1  4  4  5  4  4 24 24 24 24
 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24
 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24
 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24
 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24
 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24
 24 24 24 24 24 24 24 24  4  4  4  4  4  6  6  6  6  6  6  6  6  1  1  1
  1  1].
Reshape your data either using array.reshape(-1, 1) if your data has a single feature or array.reshape(1, -1) if it contains a single sample."
178,    X = df[[犯罪率]],NameError: name '犯罪率' is not defined
179,"  model.fit(X, y)","ValueError: Found input variables with inconsistent numbers of samples: [2, 506]"
180,"    X = df[col[y],col[z]]","KeyError: ('犯罪率', '緑地')"
181,  print(f'{column} 決定係数(R2):'.r2),AttributeError: 'str' object has no attribute 'r2'
182,"  model.fix(X,y)",AttributeError: 'LinearRegression' object has no attribute 'fix'
183,"  model.fit(X[1][2], y)","ValueError: Expected 2D array, got scalar array instead:
array=0.02729.
Reshape your data either using array.reshape(-1, 1) if your data has a single feature or array.reshape(1, -1) if it contains a single sample."
184,for column in df.solumns[:-1]:,AttributeError: 'DataFrame' object has no attribute 'solumns'
185,"    X = df[[column],[column]]","TypeError: '(['緑地'], ['緑地'])' is an invalid key"
186,"    model.fit(X, y)",ValueError: Found array with dim 3. Estimator expected <= 2.
187,"  X = df[[column],[column],[column]]","TypeError: '(['犯罪率'], ['犯罪率'], ['犯罪率'])' is an invalid key"
188,  for column in df.columns[i]:,NameError: name 'i' is not defined
189,"    X = df[[column,column[i]]]  # ひとつ選ぶ","KeyError: ""None of [Index(['犯', '犯'], dtype='object')] are in the [columns]"""
190,"    plt.hist(df[column], df['G3'], bins=20)",TypeError: hist() got multiple values for argument 'bins'
191,"    X = df[[column,column[1]]]  # ひとつ選ぶ","KeyError: ""['罪'] not in index"""
192,"    X = df[[column],[column1]] # 説明変数","TypeError: '(['犯罪率'], ['緑地'])' is an invalid key"
193,"      print(f'{column1,column} 決定係数(R2):', max(r2))",TypeError: 'numpy.float64' object is not iterable
194,"  X = df[[column],['低所得率']]  # ひとつ選ぶ","TypeError: '(['犯罪率'], ['低所得率'])' is an invalid key"
195,"  for b in range(y+1,len(col)+1):",TypeError: 'Series' object cannot be interpreted as an integer
196,"  r =r_score(y,y_pred)  ",NameError: name 'r_score' is not defined
197,"      r2 = max.r2_score(y, y_pred)",AttributeError: 'builtin_function_or_method' object has no attribute 'r2_score'
198,"    X = df[[col[a],col[b]]]",IndexError: index 12 is out of bounds for axis 0 with size 12
199,"  X = df[[column],'低所得率']  # ひとつ選ぶ","TypeError: '(['犯罪率'], '低所得率')' is an invalid key"
200,"  X = df[column,'低所得率']  # ひとつ選ぶ","KeyError: ('犯罪率', '低所得率')"
201,    X = df[[r]],NameError: name 'r' is not defined
202,"      X = df[[column, column2,colums3]] #1つ選ぶ",NameError: name 'colums3' is not defined
203,max(a2),NameError: name 'a2' is not defined
204,      A=list[r2],TypeError: 'type' object is not subscriptable
205,"      X=df[[column],[b]]","TypeError: '(['緑地'], ['犯罪率'])' is an invalid key"
206,"    model.fit(X, y)","ValueError: Expected 2D array, got 1D array instead:
array=[0      0.00632
 1      0.02731
 2      0.02729
 3      0.03237
 4      0.06905
         ...
 501    0.06263
 502    0.04527
 503    0.06076
 504    0.10959
 505    0.04741
 Name: 犯罪率, Length: 506, dtype: float64 list(['犯罪率'])].
Reshape your data either using array.reshape(-1, 1) if your data has a single feature or array.reshape(1, -1) if it contains a single sample."
207,"    X = df[[[column],[column1]]] # 説明変数df[['部屋数', '築年']]","KeyError: ""None of [Index([('犯罪率',), ('緑地',)], dtype='object')] are in the [columns]"""
208,"    X = df[[[column]],df[[column]]]","TypeError: '([['犯罪率']],          犯罪率
0    0.00632
1    0.02731
2    0.02729
3    0.03237
4    0.06905
..       ...
501  0.06263
502  0.04527
503  0.06076
504  0.10959
505  0.04741

[506 rows x 1 columns])' is an invalid key"
209,x=list.input(),AttributeError: type object 'list' has no attribute 'input'
210,if N%10==2 and N%10==4 and N%10==5 and N%10==7 and N%10==9:,TypeError: not all arguments converted during string formatting
211,"get_ipython().run_cell_magic('kogi', 'https://atcoder.jp/contests/abc224/tasks/abc224_c', 'N=int(input())\nXY=list(list(map(int,input().split())) for _ in range(N))\n\nans=0\nfor i in range(0,N-2):\n  x1,y1=XY[i]\n  for j in range(i,N-1):\n    x2,y2=XY[j]\n    for k in range(j,N):\n      x3,y3=XY[k]\n\n      if (x2-x1)*(y3-y1)-(x3-x1)*(y2-y1) == 0:\n        pass\n      else\n      ans+=1\nprint(ans)')",UsageError: Cell magic `%%kogi` not found.
212,"a,b= map(int,input().split())",ValueError: invalid literal for int() with base 10: 'coder'
213,"get_ipython().run_cell_magic('https://atcoder.jp/contests/abc228/tasks/abc228_a', '', 'S,T,X=map(int, input().split())\n\nif S<=X<T:\n  print(""Yes"")\nelse:\n  print(""No"")')",UsageError: Cell magic `%%https://atcoder.jp/contests/abc228/tasks/abc228_a` not found.
214,"get_ipython().run_cell_magic('atcoder', 'https://atcoder.jp/contests/abc171/tasks/abc171_a', '')","UsageError: %%atcoder is a cell magic, but the cell body is empty."
215,"get_ipython().run_cell_magic('aycoder', 'abc149_a', 'S,T=map(int,input().split())\nprint(T+S)')",UsageError: Cell magic `%%aycoder` not found.
216,コギーマジで嫌い,NameError: name 'コギーマジで嫌い' is not defined
217,"get_ipython().run_cell_magic('atcoderhttps://atcoder.jp/contests/abc171/tasks/abc171_', '', ""s = 'A'\n'A' <= s <= 'Z'"")",UsageError: Cell magic `%%atcoderhttps://atcoder.jp/contests/abc171/tasks/abc171_` not found.
218,,TypeError: append() takes exactly one argument (2 given)
219,    print(x=y),TypeError: 'x' is an invalid keyword argument for print()
220,"get_ipython().run_cell_magic('atcoder', 'https://atcoder.jp/contests/abc171/tasks/abc171_', ""s = input()\nif s.isupper():\n  print('A')\n\nif s.islower():\n  print('a')"")","KogiError: {""translated"": ""\u554f\u984c\u30c7\u30fc\u30bf\u304c\u8aad\u307f\u8fbc\u3081\u307e\u305b\u3093\u3002"", ""reason"": ""\u554f\u984c\u306e\u6307\u5b9a\u65b9\u6cd5\u304c\u9593\u9055\u3063\u3066\u3044\u307e\u3059"", ""hint"": ""\u554f\u984c\u30da\u30fc\u30b8\u306eURL\u3092\u30b3\u30d4\u30fc\u3057\u3066\u304f\u3060\u3055\u3044"", ""solution"": ""%%atcoder \u554f\u984c\u30da\u30fc\u30b8\u306eURL""}"
221,"S,T=str(input())",ValueError: too many values to unpack (expected 2)
222,"    s[i],s[i+1]==s[i+1],s[a]","TypeError: list indices must be integers or slices, not list"
223,if str.startsWith('er'):,AttributeError: type object 'str' has no attribute 'startsWith'
224,if len(N)==4:,TypeError: object of type 'int' has no len()
225,"get_ipython().run_cell_magic('arcoder', 'https://atcoder.jp/contests/abc149/tasks/abc149_a', ""S,T=map(str, input().split())\nprint(f'{S}{T}')"")",UsageError: Cell magic `%%arcoder` not found.
226,k = int(input()),ValueError: invalid literal for int() with base 10: '3 4 9 0'
227,"get_ipython().run_cell_magic('atcoder\u3000https://atcoder.jp/contests/abc149/tasks/abc149_a', '', 'S,T=map(int,input().split())\nprint(S+T)')",UsageError: Cell magic `%%atcoder　https://atcoder.jp/contests/abc149/tasks/abc149_a` not found.
228,s[1],IndexError: string index out of range
229,,"SyntaxError: invalid syntax (<unknown>, line 1)"
230,"n,m=map(int,input())",ValueError: invalid literal for int() with base 10: ' '
231,,"IndentationError: expected an indented block (<unknown>, line 9)"
232,,"KeyError: ""None of [Index(['住', '宅', '価', '格'], dtype='object')] are in the [columns]"""
233,,"KeyError: ""None of [Index([('住',), ('宅',), ('価',), ('格',)], dtype='object')] are in the [columns]"""
234,if X >=100:,TypeError: '>=' not supported between instances of 'str' and 'int'
235,x=a^2+b^2-2*a*b*e,TypeError: unsupported operand type(s) for ^: 'int' and 'float'
236,a<=x<=b,NameError: name 'x' is not defined
237,for i in range():,"TypeError: range expected 1 arguments, got 0"
238,a = str.input(),AttributeError: type object 'str' has no attribute 'input'
239,"a,b,h,m=map(int(),input().split())",TypeError: 'int' object is not callable
240,if S(2)==S(3) or S(4)==S(5):,TypeError: 'str' object is not callable
241,  print(white),NameError: name 'white' is not defined
242,    print(No),NameError: name 'No' is not defined
243,"print(s.replace(1, 9).replace(9, 1))",AttributeError: 'int' object has no attribute 'replace'
244,"print(S.replace((S[0],S[-1])(S[1],S[0])))",TypeError: 'tuple' object is not callable
245,"print(replace((S[0],S[-1])(S[1],S[0])))",NameError: name 'replace' is not defined
246,if N<10:,TypeError: '<' not supported between instances of 'str' and 'int'
247,"get_ipython().run_cell_magic('atcuder', 'https://atcoder.jp/contests/abc228/tasks/abc228_a', ""S,T,X = map(int,input().split())\nif S  in X:\n    print('Yes')\nelse:\n    print('No')"")",UsageError: Cell magic `%%atcuder` not found.
248,"print(s[1,2,0])","TypeError: list indices must be integers or slices, not tuple"
249,"N=a,b,c=map(int,input().split())","ValueError: not enough values to unpack (expected 3, got 1)"
250,"print(s.replace(1, 9).replace(9, 1))","TypeError: replace() argument 1 must be str, not int"
251,S.rfind(er),NameError: name 'er' is not defined
252,"S.replace=(S[1],S[2])",AttributeError: 'str' object attribute 'replace' is read-only
253,"A,B=map(int,input().split())","ValueError: not enough values to unpack (expected 2, got 1)"
254,  print(0+[n]),TypeError: unsupported operand type(s) for +: 'int' and 'list'
255,    model = LinearRegression(),NameError: name 'LinearRegression' is not defined
256,s_zero = s.zfill(4),NameError: name 's' is not defined
257,if X[-3]<=4:,TypeError: '<=' not supported between instances of 'str' and 'int'
258,k=int(input()),ValueError: invalid literal for int() with base 10: 'nikoandsolstice'
259,N=ansgd,NameError: name 'ansgd' is not defined
260,X=int(input()),ValueError: invalid literal for int() with base 10: '3.456'
