ImportError: cannot import name A from B C<tab>from sklearn.metrics import C	Cはsklearn.metricsからimportできない<tab>import Cでimportする
KeyError: A<tab>plt.scatter(df['A'],df['G3'])	データフレームdfに列'A'が見つからない<tab>列名あるいはデータフレーム名を確認して直す
AttributeError: A object has no attribute B<tab>prB(s.replace(1, 9).replace(9, 1))	B型ではreplaceは使えない<tab>prB(s.replace('1', '9').replace('9', '1')) に直す
KeyError: A<tab>df.groupby('A')['G3'].describe()	データフレームdfに列'A'は見つからない<tab>列名あるいはデータフレーム名を確認して直す
"KeyError: ""A not in index""<tab>X = df[['A','部屋数']]"	データフレームdfに列'A'が見つからない<tab>列名あるいはデータフレーム名を確認して直す
"KeyError: ""A not in index""<tab>X = df[['A','築年']]"	データフレームdfに列'A'が見つからない<tab>列名あるいはデータフレーム名を確認して直す
AttributeError: A object has no attribute B<tab>model.B	feautureのスペルが違う<tab>futureをfeautureに直す
TypeError: A() argument must be a string, a bytes-like object or a number, not B<tab>t=t+B([st[1]])	Bの中の書き方が違う<tab>t=t+B(st[1])
NameError: name A is not defined<tab>plt.scatter(y,A, color='red',alpha=0.3)	変数Aが見つからない<tab>A=...のように定義する
KeyError: A<tab>sns.kdeplot(df.groupby('母職業').get_group('A')['G3'], shade = True, label = 'A')	データフレームdfに列'A'は見つからない<tab>列名あるいはデータフレーム名を確認して直す
ValueError: Expected 2D array, got 1D array instead:Aarray=B.CReshape your data either using array.reshape(-D, E) if your data has a single feature or array.reshape(F, -G) if it contains a single sample.<tab>model.fit(X, y)	sklearnのfit()では、DataFrame型やnumpyの行列形式（縦ベクトル）しか使用できない<tab>二重括弧をつけるか、reshape(-A,A)をつける
"KeyError: ""A not in index""<tab>df[['kcal','A','temperature']]"	データフレームdfに列'A'が見つからない<tab>列名あるいはデータフレーム名を確認して直す
NameError: name A is not defined<tab>plt.figure(A(6,6))	figsizeの使い方が違う<tab>figsize=(値,値)のようにする
NameError: name A is not defined<tab>y_train_pred= A.predict(X)	Aが見つからない<tab>A=...のように定義する
TypeError: A is an invalid key<tab>X = df[['week_num'],['weather_num'],['temperature']]	複数列を指定する際の個々の[]は不要<tab>df[[列名1,列名2,...]]にする
TypeError: unsupported operand type(s) for ^: A and B<tab>x=a^2+b^2-2*a*b*e	累乗の演算子が^になっている<tab>^を**に直す
NameError: name A is not defined<tab>words.append(A(name))	関数Aが見つからない<tab>関数名を確認して直すか、新たに関数を作る
NameError: name A is not defined<tab>y_test = A['target']	データフレームAが見つからない<tab>データフレーム名を確認して直すか、新たにデータフレームを作る
ValueError: Found input variables with inconsistent numbers of samples: A<tab>print('R2', r2_score(y, y_pred))	yとy_predのデータの個数が異なる<tab>len(データフレーム名[列名])でそれぞれのデータの個数を確認する
NameError: name A is not defined<tab>print(b[b.index(A(c))])	A関数は使用できない<tab>int(x)やmax(x)のように使う
TypeError: argument of type A is not iterable<tab>'9' in 99	inの後に数値データを指定している<tab>inのあとは文字列やリスト、dict、タプルなどの繰り返し処理が可能なイテラブルオブジェクトを入れる
ValueError: Expected 2D array, got 1D array instead:Aarray=B.CReshape your data either using array.reshape(-D, E) if your data has a single feature or array.reshape(F, -G) if it contains a single sample.<tab>model.predict([(4.00)])	sklearnのfit()では、DataFrame型やnumpyの行列形式（縦ベクトル）しか使用できない<tab>二重括弧をつけるか、reshape(-A,A)をつける
AttributeError: A object has no attribute B<tab>y = x.A(Decimal('0'), rounding=ROUND_HALF_UP)	xは浮動小数点型のため、Aは使用できない<tab>Decimal(str('小数or整数')).A(Decimal('桁数'),rounding=引数)に直す
NameError: name A is not defined<tab>plt.plot(A,Y)	変数Aが見つからない<tab>A=...のように定義する
NameError: name A is not defined<tab>S[0],S[2] = S[2],A[0]	Aはスペルミス<tab>リスト名を確認し、Sに直す
ValueError: Expected 2D array, got 1D array instead:Aarray=B.CReshape your data either using array.reshape(-D, E) if your data has a single feature or array.reshape(F, -G) if it contains a single sample.<tab>model.fit(X,y)	sklearnのfit()では、DataFrame型やnumpyの行列形式（縦ベクトル）しか使用できない<tab>二重括弧をつけるか、reshape(-A,A)をつける
NameError: name A is not defined<tab>Sx,Sy,Gx,Gy=map(int, input().split(),'{:10}'.format(A))	変数Aが見つからない<tab>A=...のように定義する
TypeError: A is an invalid key<tab>X = df[[column1], [column2]]  # 説明変数	複数列を指定する際の個々の[]は不要<tab>df[[列名1,列名2,...]]にする
NameError: name A is not defined<tab>X_train_pr_name, X_test_pr_name = train_test_split(A,test_size = 0.3)	データフレームAが見つからない<tab>データフレーム名を確認して直すか、新たにデータフレームを作る
ValueError: Expected 2D array, got 1D array instead:Aarray=B.CReshape your data either using array.reshape(-D, E) if your data has a single feature or array.reshape(F, -G) if it contains a single sample.<tab>model.fit(X, y)	sklearnのfit()では、DataFrame型やnumpyの行列形式（縦ベクトル）しか使用できない<tab>二重括弧をつけるか、reshape(-C,C)をつける
AttributeError: A object has no attribute B<tab>a.B	データフレーム型aにはBを使用できない<tab>aを文字列にする
TypeError: A() takes exactly one argument (B given)<tab>r=s.B(0,2)	B()の引数は1つしか入れられないが2つ入ってしまっている<tab>1つずつ削除する
"KeyError: ""A not found in axis""<tab>df.drop('A', axis=1, inplace=True)"	Aはタイプミス<tab>datetimeに直す
NameError: name A is not defined<tab>A(1+2)	printのスペルが違う<tab>printに直す
NameError: name A is not defined<tab>model=A()	Aが見つからない<tab>from sklearn.ensemble import RandomForestClassifierでimportする
FileNotFoundError: A No such file or directory: B<tab>X_train_numa_p = pd.read_csv('B')	Bが見つからない<tab>ファイルのダウンロードし、ファイル名やファイルパスを確認をする
KeyError: A<tab>keys_list(df_key['keys'][A])	indexが見つからない<tab>範囲を確認し、indexを調節する
TypeError: A not supported between instances of B and C<tab>mi=[x for x in b if a[i]-abBbBa[i]+ab]	C型とlist型で比較演算子は使えない<tab>型を揃えて比較する
ValueError: Expected 2D array, got 1D array instead:Aarray=B.CReshape your data either using array.reshape(-D, E) if your data has a single feature or array.reshape(F, -G) if it contains a single sample.<tab>model.fit(X, y)	"sklearnのfit()では、DataFrame型やnumpyの行列形式（縦ベクトル）しか使用できない
<tab>二重括弧をつけるか、reshape(-A,A)をつける"
ValueError: not enough values to unpack (expected A, got B)<tab>a,b,c,d=map(int,input().split())	入力した値を入れる変数はB個あるけど、、実際には2個しか入力されていない<tab>入力をB個に増やすか、変数を2個に減らそう
NameError: name A is not defined<tab>model = A(max_depth=4)	Aがimportしていない<tab>from sklearn.cross_decomposition import Aでimportする
NameError: name A is not defined<tab>mean_lists = [mean_list(S[k]) for k in range(len(A))]	Aが見つからない<tab>Aを定義する
ValueError: invalid literal for A() with base B: C<tab>X = C(input())	文字列'dIfFiCuLt'はC型に変換できない<tab>C(input())をinput()に直す
KeyError: (A, B)<tab>X = df['B','低所得']	カラム名は1つしか指定できない<tab>2つ以上のカラムを取り出したい時には、二重括弧を使う
AttributeError: A object attribute B is read-only<tab>k.B=S[1]	Bに=は不要<tab>リスト名.B(追加した要素)にする
"FileNotFoundError: A No such file or directory: B<tab>X_train_numa_p = pd.read_csv(""A"")"	Aが見つからない<tab>ファイルのダウンロードし、ファイル名やファイルパスを確認をする
NameError: name A is not defined<tab>print(A)	変数Aが見つからない<tab>A=...のように定義する
NameError: name A is not defined<tab>mean_list_all.append(A)	Aが見つからない<tab>A=...のように定義する
AttributeError: A object has no attribute B<tab>plt.barh(X_train.columns[::-1], model.B[::-1])	DecisionTreeRegressorにBはない<tab>RandomForestClassifierとRandomForestRegressorにBを使用できる
TypeError: A is an invalid key<tab>X = df[[column],'低所得率']  # ひとつ選ぶ	複数列を指定する際の個々の[]は不要<tab>df[[列名1,列名2,...]]にする
ValueError: could not convert string to float: A<tab>X=float(input())	このデータはそのまま処理できない<tab>文字列を数値に変えるデータ前処理を行う
ImportError: cannot import name A from B C<tab>from sklearn.ensemble import C	import元が異なる<tab>from sklearn.neural_network import Cでimportする
NameError: name A is not defined<tab>print(A)	変数ansgdが見つからない<tab>ansgd=...のように定義する
AttributeError: A object has no attribute B<tab>print(n.B('1', 'X').B('9', '1').B('X', '9'))	リストXは置き変えられない<tab>Xをまだ使ってない文字に変える
NameError: name A is not defined<tab>(A) == b	変数Aが見つからない<tab>A=...のように定義する
AttributeError: A object has no attribute B<tab>l=print(str(m.B('1','9')))	一度に使用できません<tab>printとstr変換を変える
"NameError: name A is not defined<tab>round(""n"" ,A)"	変数Aが見つからない<tab>A=...のように定義する
TypeError: not all arguments converted during string formatting<tab>if N%10==2 and N%10==4 and N%10==5 and N%10==7 and N%10==9:	Nが文字列になっている<tab>N=int(N) のようにNを数値型に変換する
AttributeError: A object has no attribute B<tab>ss.A(chr(a))	ssは文字列のためAできない<tab>ssをリスト型にするまたは、ss+追加したい文字列にする
NameError: name A is not defined<tab>A	変数Aが見つからない<tab>A=...のように定義する
ValueError: Found input variables with inconsistent numbers of samples: A<tab>print('R2(テスト):', r2_score(y_train, y_pred))	y_trainとy_predのデータの個数が異なる<tab>len(データフレーム名[列名])でそれぞれのデータの個数を確認する
ValueError: Found input variables with inconsistent numbers of samples: A<tab>model.fit(X, y)	Xとyのデータの個数が異なる<tab>len(データフレーム名[列名])でそれぞれのデータの個数を確認する
ValueError: invalid literal for A() with base B: C<tab>A,B=map(C,input().split())	入力にC型ではなく、文字列が含まれている<tab>入力データ見直す
ValueError: invalid literal for A() with base B: C<tab>A,B=map(C,input().split())	区切り文字の設定が','になっていない<tab>map(C,input().split())をmap(C,input().split(','))に直す
"KeyError: ""A not in index""<tab>X = df[['低所得率','','交通']]  # ひとつ選ぶ"	指定した列''が見つからない<tab>列名'に直す
NameError: name A is not defined<tab>A(X_train_pr_name)	データフレームを忘れている<tab>データフレーム名.A()にする
TypeError: unsupported operand type(s) for -: A and B<tab>df.columns -1	str型とB型の減算はできない<tab>df.columnの型を見直し数値型にする
AttributeError: type object A has no attribute B<tab>if B.startsWith('er'):	B.startswithのスペルが違う<tab>B.startswithに直す
ValueError: num must be A <= num <= B, not C<tab>plt.subplot(4,4,i+A)	subplotでBは存在しない<tab>1からCになるようにする
TypeError: A not supported between instances of B and C<tab>if X A100:	str型とC型で比較演算子は使えない<tab>型を揃えて比較する
"KeyError: ""A not in index""<tab>X = df[['weather_num','A']]"	データフレームdfに列'A'が見つからない<tab>列名あるいはデータフレーム名を確認して直す
ModuleNotFoundError: No module named A<tab>from A.metrics import r2_score	Aという名前のモジュールが見つからない<tab>モジュールの名前を確認する、もしくはモジュールをimportする
AttributeError: A object has no attribute B<tab>df.A()	dfが整数型になっている<tab>pd.DataFrameやpd.read_csvを用いて、データフレーム型にする
ValueError: could not convert string to float: A<tab>model.fit(X, y)	文字列を数値に変えないと処理できない<tab>文字列を数値に変えるデータ前処理を行う
"ValueError: Found input variables with inconsistent numbers of samples: A<tab>print(""MSE: "", mean_squared_error(y_test, y_pred))"	y_testとy_predのデータの個数が異なる<tab>len(データフレーム名[列名])でそれぞれのデータの個数を確認する
AttributeError: A object has no property B<tab>plt.scatter(df['部屋数'], df['住宅価格'],B=0.5)	Baのスペルが違う<tab>BをBaに直す
TypeError: A not supported between instances of B and C<tab>if NA10:	str型とC型で比較演算子は使えない<tab>型を揃えて比較する
TypeError: can't multiply sequence by non-int of type A<tab>print(int(A * B))	A型変数は掛け算できない<tab>変数A,Bどちらも数値型にする
AttributeError: A object has no attribute B<tab>r2 = max.A(y, y_pred)	必要ないmaxが付いている<tab>max.A(y,y_pred)をA(y,y_pred)に直す
TypeError: A object is not subscriptable<tab>if str(X[-3])<=4:	A型に添字は使えない<tab>それぞれの型を見直す
NameError: name A is not defined<tab>a=ord(A)+N	変数Aが見つからない<tab>A=...のように定義する
TypeError: list indices must be integers or slices, not str<tab>X = df[['week_num'],['weather_num'],['temperature']['kcal']]	列名を複数指定する書き方が違う<tab>X = df[['week_num','weather_num','temperature','kcal']] に直す
TypeError: A is an invalid key<tab>X = df[[column],[column]]	複数列を指定する際の個々の[]は不要<tab>df[[列名1,列名2,...]]にする
ValueError: invalid literal for A() with base B: C<tab>prC(C(X)+1)	'99.500’はC型に変換できない<tab>C(X)をfloat(X)に直す
KeyError: A<tab>df['A'].value_counts()	データフレームdfに列'A'が見つからない<tab>列名あるいはデータフレーム名を確認して直す
TypeError: A object is not callable<tab>if S(2)==S(3) or S(4)==S(5):	文字列のindexは()で指定できない<tab>文字列[指定したindex]にする
TypeError: A() got an unexpected keyword argument B<tab>model = GradientBoostingRegressor(B=0)	Bはスペルミス<tab>random_state=...に直す
NameError: name A is not defined<tab>s,t=map(A,input().split())	strのスペルが違う<tab>strのように直す
TypeError: unsupported operand type(s) for -: A and B<tab>r=A(0*(4-N))	B型とstr型の減算はできない<tab>Nの型を数値型にする
NameError: name A is not defined<tab>A_zero = A.zfill(4)	変数Aが見つからない<tab>A=...のように定義する
KeyError: (A, B)<tab>X = df['通勤', 'B']  # 説明変数	カラム名は1つしか指定できない<tab>2つ以上のカラムを取り出したい時には、二重括弧を使う
TypeError: A not supported between instances of B and C<tab>while maBw:	list型とC型で比較演算子は使えない<tab>型を揃えて比較する
NameError: name A is not defined<tab>mean_list_all = A(sample_list, df_keys['keys'])	Aが見つからない<tab>Aのスペルの確認やA=...で定義する
KeyError: A<tab>df.groupby('天気')['y'].median()	データフレームdfに列'y'が見つからない<tab>列名あるいはデータフレーム名を確認して直す
NameError: name A is not defined<tab>A=str(A)	変数Aが見つからない<tab>A=...のように定義する
KeyError: A<tab>df['week'] = df['A']	データフレームdfに列'A'が見つからない<tab>列名あるいはデータフレーム名を確認して直す
"ValueError: Length mismatch: Expected axis has A elements, new values have B elements<tab>df_uid_pr.columns = [""uid"", 'a', 'b', 'c', 'd', 'e', 'f', 'g','h','i','j']"	元のデータフレームは8列だけど与えられた要素はB個ある<tab>要素をB個にしよう
"KeyError: ""None of A are in the B""<tab>X = df[['川辺']] #一つ選ぶ"	データフレームdfに列'川辺'が見つからない<tab>列名あるいはデータフレーム名を確認して直す
"KeyError: ""None of A are in the B""<tab>X = df[['犯罪']]  # ひとつ選ぶ"	データフレームdfに列'犯罪'が見つからない<tab>列名あるいはデータフレーム名を確認して直す
"FileNotFoundError: A No such file or directory: B<tab>X_train_numa_p = pd.read_csv(""B"")"	Bが見つからない<tab>ファイルのダウンロードし、ファイル名やファイルパスを確認をする
NameError: name A is not defined<tab>A.append(chr(a))	リスト型の変数Aが見つからない<tab>A=...のように定義する
"AttributeError: A object has no attribute B<tab>df_2[""datetime""].A('%Y%m%d')"	Bではstrftimeは使えない<tab>形を見直す
TypeError: A() got an unexpected keyword argument B<tab>plt.figure(B=(6,6))	Bではグラフのサイズを指定できない<tab>plt.figure(figsize=...)に直す
TypeError: A not supported between instances of B and C<tab>if 0AN<10:	C型とstr型で比較演算子は使えない<tab>型を揃えて比較する
NameError: name A is not defined<tab>X = df[[A]]  # 説明変数	変数Aが見つからない<tab>Aを定義するまたはcolumnに直す
NameError: name A is not defined<tab>A(X.shape)	printのスペルが違う<tab>printに直す
ValueError: invalid literal for A() with base B: C<tab>X,Y=map(C,input().split())	区切り文字の設定が','になっていない<tab>map(C,input().split())をmap(C,input().split(',')に直す
NameError: name A is not defined<tab>X_train_pr_any = pd.DataFrame(A)	データフレームAが見つからない<tab>データフレーム名を確認して直すか、新たにデータフレームを作る
"KeyError: ""A not in index""<tab>X=df[['低所得率','A']]"	データフレームdfに列'A'が見つからない<tab>列名あるいはデータフレーム名を確認して直す
"KeyError: ""A not in index""<tab>X = df[['通勤','A']]  # ひとつ選ぶ"	データフレームdfに列'A'が見つからない<tab>列名あるいはデータフレーム名を確認して直す
NameError: name A is not defined<tab>r2 = r2_score(A, A_pred)	変数Aが見つからない<tab>A=...のように定義する
KeyError: (A, B)<tab>X = df[column,'B']  # ひとつ選ぶ	カラム名は1つしか指定できない<tab>2つ以上のカラムを取り出したい時には、二重括弧を使う
TypeError: A is an invalid key<tab>X = df[['week'],['weatherr'],['kcal']]	複数列を指定する際の個々の[]は不要<tab>df[[列名1,列名2,...]]にする
ValueError: Expected 2D array, got 1D array instead:Aarray=B.CReshape your data either using array.reshape(-D, E) if your data has a single feature or array.reshape(F, -G) if it contains a single sample.<tab>d	sklearnのfit()では、DataFrame型やnumpyの行列形式（縦ベクトル）しか使用できない<tab>二重括弧をつけるか、reshape(-A,A)をつける
"KeyError: ""A not in index""<tab>X = df[['temperature','soldout','A']]"	データフレームdfに列'A'が見つからない<tab>列名あるいはデータフレーム名を確認して直す
"KeyError: ""A not in index""<tab>X = df_train[['year', 'month', 'day', 'week', 'soldout', 'kcal', 'event', 'payday', 'weather','A']]"	データフレームdf_trainに列'A'が見つからない<tab>列名あるいはデータフレーム名を確認して直す
AttributeError: A object has no attribute B<tab>df['precipitation'].A()	A() は列ではなくデータフレームに対して使う<tab>df.A() に直す
ValueError: Expected 2D array, got 1D array instead:Aarray=B.CReshape your data either using array.reshape(-D, E) if your data has a single feature or array.reshape(F, -G) if it contains a single sample.<tab>model.fit(X, y)	sklearnのfit()では、DataFrame型やnumpyの行列形式（縦ベクトル）しか使用できない<tab>二重括弧をつけるか、reshape(-A,A)をつける
NameError: name A is not defined<tab>print(A)	変数Aが見つからない<tab>A=...のように定義する
NameError: name A is not defined<tab>print('正解率(test)', model.score(A, y_test_c1_p))	変数Aが見つからない<tab>A=...のように定義する
NameError: name A is not defined<tab>X=A(N/2)	mathモジュールを使っていない<tab>import mathして、math.A()と書く
ImportError: cannot import name A from B C<tab>from sklearn.ensemble import C	import元が異なる<tab>from sklearn.gaussian_process import Cでimportする
TypeError: unsupported operand type(s) for +=: A and B<tab>sum += n	sumは関数である<tab>変数名を変更する
KeyError: A<tab>df['A'].map({	データフレームdfに列'A'が見つからない<tab>列名あるいはデータフレーム名を確認して直す
ValueError: Number of labels=A does not match number of samples=B<tab>model.fit(X_train, y_train)	X_trainとy_trainのデータの個数が異なる<tab>X_trainとy_trainの個数を揃える
ValueError: invalid literal for A() with base B: C<tab>s,t =map(C,input().split())	文字列'CSS'はC型に変換できない<tab>map(C,input().split())をmap(input().split())に直す
ValueError: Length mismatch: Expected axis has A elements, new values have B elements<tab>df_uid_all.columns = column_list	元のデータフレームは201列だけど与えられた要素はB個しかない<tab>要素をA個にしよう
TypeError: A() got an unexpected keyword argument B<tab>df_uid_all = df_uid_all.dropna(B=1)	axisのスペルが違う<tab>Bをaxisに直す
TypeError: A object is not callable<tab>a,b,h,m=map(A(),input().split())	Aの後ろは()がある<tab>map(A,input().split())にする
ImportError: cannot import name A from B C<tab>from C import RandomForestRegressor	import元が異なる<tab>from C import RandomForestRegressorでimportする
"FileNotFoundError: A No such file or directory: B<tab>X_train_numa_p = pd.read_csv(""A"")"	A'が見つからない<tab>ファイルのダウンロードし、ファイル名やファイルパスを確認をする
UsageError: Cell magic A not found.<tab>get_ipython().run_cell_magic('atcder', 'https://atcoder.jp/contests/abc111/tasks/abc111_a', 'n = int(input())\nprint(1110 - n)')	%%atcoderのスペルが違う<tab>%%atcderを%%atcoderに直す
NameError: name A is not defined<tab>print(A.array(scores).mean())	Aのスペルミス<tab>npに直す
KeyError: A<tab>y = df['A']	データフレームdfに列'A'が見つからない<tab>列名あるいはデータフレーム名を確認して直す
TypeError: A is an invalid key<tab>X = df[['築年'],['通勤']]	複数列を指定する際の個々の[]は不要<tab>df[[列名1,列名2,...]]にする
NameError: name A is not defined<tab>print(A((S[0],S[-1])(S[1],S[0])))	"Aのコードが違う<tab>S.A(""A"",""a"").A(""B"",""b"")で置換する"
AttributeError: module A has no attribute B<tab>plt.B(figsize=(6,6))	plt.figureのスペルが違う<tab>plt.figureに直す
TypeError: unsupported operand type(s) for +: A and B<tab>prB(0+[n])	Bとlistの加算はできない<tab>import numpy as npをし、[p]をnp.array(p)に変換する
ValueError: invalid literal for A() with base B: C<tab>A,B = C(input())	'-13 3'はC型に変換できない<tab>C(input())をmap(C,input().split())に直す
NameError: name A is not defined<tab>X_train_c1_any_p, X_test_c1_any_p= train_test_split(A, test_size=0.3, random_state=0)	変数Aが見つからない<tab>A=...のように定義する
NameError: name A is not defined<tab>A.floor	Aモジュールをimportしていない<tab>import Aする
TypeError: A not supported between instances of B and C<tab>if N A 4:	str型とC型で比較演算子は使えない<tab>型を揃えて比較する
AttributeError: A object has no attribute B<tab>plot_tree(model, feature_names=X.columns, filled=True)	Aにplot_treeを使用できない<tab>modelを見直す
ValueError: could not convert string to float: A<tab>x=float(input())	このデータはそのまま処理できない<tab>文字列を数値に変えるデータ前処理を行う
AttributeError: A object has no property B<tab>plt.scatter(df['部屋数'], df['住宅価格'],B=0.5)	alphaのスペルが違う<tab>Bをalphaに直す
TypeError: A object is not iterable<tab>for S in range:	range関数の範囲が指定されていない<tab>range(繰り返したい数 - 1)のようにする
NameError: name A is not defined<tab>A	日本語文を入力した<tab>日本語文を入力しない
NameError: name A is not defined<tab>df = A.read_csv('boston.csv')	pandasをAとしてimportしていない<tab>import pandas as A する
ValueError: invalid literal for A() with base B: C<tab>Y=C(X[X.find('')+1])	.'はC型に変換できない<tab>C関数の引数を見直す
AttributeError: A object has no attribute B<tab>print(f'{column} 決定係数(R2):'.A)	Aの前に.がある<tab>.AをAに直す
ValueError: invalid literal for A() with base B: C<tab>z=C(input())	文字列'fg'はC型に変換できない<tab>C(input())をinput()に直す
"KeyError: ""A not in index""<tab>X = df[['week','A']]"	データフレームdfに列'A'が見つからない<tab>列名あるいはデータフレーム名を確認して直す
AttributeError: A object has no attribute B<tab>model.A	feautureのスペルが違う<tab>futureをfeautureに直す
KeyError: (A, B)<tab>X = df['部屋数','B']	カラム名は1つしか指定できない<tab>2つ以上のカラムを取り出したい時には、二重括弧を使う
ValueError: Expected 2D array, got 1D array instead:Aarray=B.CReshape your data either using array.reshape(-D, E) if your data has a single feature or array.reshape(F, -G) if it contains a single sample.<tab>model.fit(X_train, y_train)	sklearnのfit()では、DataFrame型やnumpyの行列形式（縦ベクトル）しか使用できない<tab>二重括弧をつけるか、reshape(-A,A)をつける
ValueError: invalid literal for A() with base B: C<tab>if C(a[j]) < P:	a[j]には複数の値が存在する<tab>Cの中にを1つの引数にする
"KeyError: ""A not in index""<tab>X = df[['A', '工場']]  # 説明変数"	データフレームdfに列'A'が見つからない<tab>列名あるいはデータフレーム名を確認して直す
NameError: name A is not defined<tab>for column An df.columns[A]:	変数Aが見つからない<tab>Aに値を代入する
NameError: name A is not defined<tab>N=A % 10	変数Aが見つからない<tab>A=...のように定義する
NameError: name A is not defined<tab>N=A.translate(n)	Aが見つからない<tab>A=...やスペルを確認する
TypeError: unsupported operand type(s) for %: A and B<tab>if B%A == 0:	A,BがA型になっている<tab>A, Bの型を数値型にする
"KeyError: ""A not in index""<tab>X = df[['犯罪率','A']]"	データフレームdfに列'A'が見つからない<tab>列名あるいはデータフレーム名を確認して直す
KeyError: (A, B)<tab>X = df['資産税','B']	カラム名は1つしか指定できない<tab>2つ以上のカラムを取り出したい時には、二重括弧を使う
KeyError: A<tab>df['A'] = df['A'].map({	データフレームdfに列'A'が見つからない<tab>列名あるいはデータフレーム名を確認して直す
ValueError: could not convert string to float: A<tab>model.fit(X, y)	文字列を数値に変えないと処理できない<tab>文字列を数値に変えるデータ前処理を行う
UsageError: Cell magic A not found.<tab>get_ipython().run_cell_magic('atcoderhttps://atcoder.jp/contests/abc111/tasks/abc111_a', '', 'n=str(input())\nprint(n.replace(1,9))')	%%atcoderの使い方が違う<tab>%%atcoder<半角スペース><問題のURL> に直す
KeyError: A<tab>sns.kdeplot(df.groupby('性別').get_group('A')['G3'], shade = True, label = '男子学生')	データフレームdfに列'A'が見つからない<tab>列名あるいはデータフレーム名を確認して直す
FileNotFoundError: A No such file or directory: B<tab>pd.read_csv('A')	boston.csvが見つからない<tab>ファイルのダウンロードし、ファイル名やファイルパスを確認をする
ValueError: not enough values to unpack (expected A, got B)<tab>a,b,c,d = map(int, input().split())	入力した値を入れる変数はB個あるけど、実際には1個しか入力されていない<tab>入力をB個に増やすか、変数を1個に減らそう
KeyError: (A, B, C, D)<tab>X = df['soldout','kcal','payday','D']	カラム名は1つしか指定できない<tab>2つ以上のカラムを取り出したい時には、二重括弧を使う
ImportError: cannot import name A from B C<tab>from sklearn.linear_model import C	import元が異なる<tab>from sklearn.neural_network import Cにimportする
ValueError: invalid literal for A() with base B: C<tab>a,b,c,d=map(C,input().split())	map関数を用いているが入力データが1つしかない<tab>4つの値を入力する
NameError: name A is not defined<tab>print(A)	変数Aが見つからない<tab>A=...のように定義する
TypeError: Could not convert A B to numeric<tab>df['name'].mean()	列nameはmeanを求められない<tab>列nameの型を見直し、値に直すj
"ValueError: Found input variables with inconsistent numbers of samples: A<tab>print(""MSE: "", mean_squared_error(y, y_pred))"	yとy_predのデータの個数が異なる<tab>len(データフレーム名[列名])でそれぞれのデータの個数を確認する
FileNotFoundError: A No such file or directory: B<tab>df = pd.read_csv('A')	Aが見つからない<tab>ファイルのダウンロードし、ファイル名やファイルパスを確認をする
NameError: name A is not defined<tab>A((data1_c2))	printのスペルが違う<tab>print()に直す
AttributeError: A object has no attribute B<tab>model.B	featureとimportances_のスペルが違う<tab>featrueをfeatureに、importance_をimportances_に直す
TypeError: A is an invalid key<tab>X = df[A]  # ひとつ選ぶ	複数列を指定する際の個々の[]は不要<tab>df[[列名1,列名2,...]]にする
NameError: name A is not defined<tab>A	変数Aが見つからない<tab>A=...のように定義する
